url,type,domain,ip_address
leorochabrasil.com.br,phishing,leorochabrasil.com.br,52.200.197.31
zediah.ps,phishing,zediah.ps,199.188.205.27
aluvodrinks.com,phishing,aluvodrinks.com,185.26.105.244
turkhackteam.org,phishing,turkhackteam.org,172.67.173.248
zonasguraviabcp.dvoper.com,phishing,zonasguraviabcp.dvoper.com,45.200.225.35
noticebusiness.co.vu,phishing,noticebusiness.co.vu,66.186.19.4
http://www.bestofindianashville.com/wp-content/themes/export.php,phishing,www.bestofindianashville.com,199.59.243.223
http://www.likepeanutbutterandjelly.com/wp-admin/maint/confirme-you-accuant-apple-en/0ddf30bb1abbbe7df8d3336c8cd1a21a/WebObjects/iTunesConnect.html,phishing,www.likepeanutbutterandjelly.com,74.220.199.6
ugofit.com,phishing,ugofit.com,75.2.26.18
sogexoman.in,phishing,sogexoman.in,166.62.10.185
http://hotlinegsm.com/products/mobile-and-tablet/apple-iphone-4-detail,malware,hotlinegsm.com,34.102.136.180
http://hotlinegsm.com/products/mobile-and-tablet/nokia-asha-302-detail,malware,hotlinegsm.com,34.102.136.180
lastikpark.us,malware,lastikpark.us,199.59.243.223
http://schertzauto.com/wp-content/plugins/revslider/rs-plugin/css/settings.css?rev=4.6.0&ver=4.2.2,malware,schertzauto.com,35.172.94.1
http://www.atthetopproperties.com/wp-includes/limit/dwgdoc,malware,www.atthetopproperties.com,192.185.5.211
http://hotlinegsm.com/products/mobile-and-tablet/motorola-atrix-2-detail,malware,hotlinegsm.com,34.102.136.180
http://schertzauto.com/wp-content/themes/NAPA%20AC%202014%20S/style.css,malware,schertzauto.com,35.172.94.1
http://www.mycitystore.in/wp-includes/70187978dca46b3c15d58b15d045a3f0,malware,www.mycitystore.in,34.102.136.180
http://hotlinegsm.com/products/samsung-i9300-galaxy-s-iii-detail,malware,hotlinegsm.com,34.102.136.180
http://hotlinegsm.com/products/mobile-and-tablet/nokia-lumia-900-detail,malware,hotlinegsm.com,34.102.136.180
http://nossafail.blogspot.com.br/2013/10/tomando-garrafa-de-vodka-em-15-segundos.html,malware,nossafail.blogspot.com.br,172.217.193.132
http://schertzauto.com/wp-content/plugins/contact-form-7/includes/js/scripts.js?ver=4.2.1,malware,schertzauto.com,35.172.94.1
http://hotlinegsm.com/products/mobile-and-tablet/sony-ericsson-xperia-arc-s-detail,malware,hotlinegsm.com,34.102.136.180
http://hotlinegsm.com/products/mobile-and-tablet/blackberry-9220-detail,malware,hotlinegsm.com,34.102.136.180
http://hotlinegsm.com/products/samsung-galaxy-mini-2-s6500-detail,malware,hotlinegsm.com,34.102.136.180
http://goldcity888.com/theme/topic/ironman/ironman_files/style.css,malware,goldcity888.com,34.98.99.30
http://hotlinegsm.com/products/mobile-and-tablet/lg-jil-sander-mobile-detail,malware,hotlinegsm.com,34.102.136.180
http://hotlinegsm.com/news/4-is-this-the-first-legit-samsung-galaxy-s3-press-shot,malware,hotlinegsm.com,34.102.136.180
dmlevents.com,malware,dmlevents.com,3.140.13.188
http://afs.googleusercontent.com/dp-demandmedia/t1020/bullet-green-arrow.png,malware,afs.googleusercontent.com,173.194.216.132
http://hotlinegsm.com/products/mobile-and-tablet/apple-iphone-4s-detail,malware,hotlinegsm.com,34.102.136.180
http://schertzauto.com/wp-content/themes/NAPA%20AC%202014%20S/css/jquery.bxslider.css?ver=4.2.2,malware,schertzauto.com,35.172.94.1
http://www.mycitystore.in/wp-includes/c539017ed06134ad01c26864c4cca01c,malware,www.mycitystore.in,34.102.136.180
http://hotlinegsm.com/products/mobile-and-tablet/acer-allegro-detail,malware,hotlinegsm.com,34.102.136.180
http://hotlinegsm.com/products/mobile-and-tablet/apple-iphone-4s-detail,malware,hotlinegsm.com,34.102.136.180
http://goldcity888.com/theme/topic/ironman/ironman_files/style.css,malware,goldcity888.com,34.98.99.30
http://hotlinegsm.com/accessories/flip-case-cover-for-samsung-galaxy-s3-detail,malware,hotlinegsm.com,34.102.136.180
http://hotlinegsm.com/products/mobile-and-tablet/sony-ericsson-live-with-walkman-detail,malware,hotlinegsm.com,34.102.136.180
http://schertzauto.com/wp-content/themes/NAPA%20AC%202014%20S/css/yellow-style.css,malware,schertzauto.com,35.172.94.1
http://cltmusic.com/wp-content/uploads/formidable/css/formidablepro.css,malware,cltmusic.com,3.19.116.195
http://goldcity888.com/theme/topic/ironman/ironman_files/style.css,malware,goldcity888.com,34.98.99.30
http://hotlinegsm.com/products/mobile-and-tablet/blackberry-bold-touch-9900-detail,malware,hotlinegsm.com,34.102.136.180
http://hotlinegsm.com/products/samsung-i9300-galaxy-s-iii-detail,malware,hotlinegsm.com,34.102.136.180
http://hotlinegsm.com/products/mobile-and-tablet/nokia-asha-302-detail,malware,hotlinegsm.com,34.102.136.180
http://hotlinegsm.com/accessories/flip-case-cover-for-samsung-galaxy-s3-detail,malware,hotlinegsm.com,34.102.136.180
http://cltmusic.com/wp-content/uploads/formidable/css/formidablepro.css,malware,cltmusic.com,52.71.57.184
http://hotlinegsm.com/products/manufacturer/sony-ericsson/orderDesc,malware,hotlinegsm.com,34.102.136.180
http://hotlinegsm.com/products/mobile-and-tablet/samsung-i9100-galaxy-s-ii-detail,malware,hotlinegsm.com,34.102.136.180
http://cltmusic.com/wp-content/themes/gigawatt/color-styles/dark/style.css,malware,cltmusic.com,3.130.204.160
http://cltmusic.com/featured/grown-up-avenger-stuff-now-official-video/,malware,cltmusic.com,3.130.204.160
http://larcadelcarnevale.com/catalogo/palloncini,defacement,larcadelcarnevale.com,213.186.33.4
http://www.approvi.com.br/ck.htm,defacement,www.approvi.com.br,34.149.87.45
http://www.boeuf-soufflenheim.com/de.feed?type=rss,defacement,www.boeuf-soufflenheim.com,213.186.33.4
http://practicaleyes.net/consulting/165-communications-consultancy.html,defacement,practicaleyes.net,205.178.189.131
http://www.fitasylum.com/index.php/reset.1,defacement,www.fitasylum.com,3.19.116.195
http://www.vfleberstadt.de/index.php?option=com_content&view=article&id=51&Itemid=55,defacement,www.vfleberstadt.de,34.117.168.233
http://www.gottadanceonline.com/index.php/login?task=lostPassword,defacement,www.gottadanceonline.com,198.185.159.144
http://football-euro.net/kluby-rossii/373-rabota-rossijskix-futbolnyx-arbitrov-neudovletvoritelna-po-czelomu-ryadu-prichin.html,defacement,football-euro.net,34.102.136.180
http://homesofbr.com/index.php?option=com_properties&view=properties&task=map&id=25&Itemid=97,defacement,homesofbr.com,34.102.136.180
http://www.ninopizzaria.com.br/index.php?option=com_content&view=category&id=43&Itemid=63,defacement,www.ninopizzaria.com.br,34.117.168.233
http://www.tellimus.ee/et/pood/category/198/indicators.html,defacement,www.tellimus.ee,3.64.163.50
http://www.natuurfotovanderhart.nl/foto-van-de-maand.html,defacement,www.natuurfotovanderhart.nl,34.149.87.45
http://soothingpainrelief.com/index.php?option=com_fsf&view=faq&catid=1&Itemid=32&tmpl=component&faqid=7,defacement,soothingpainrelief.com,34.102.136.180
http://pridepestcontrolservices.com/about.html,defacement,pridepestcontrolservices.com,74.220.199.6
http://www.iremshrine.com/uniformed-units-mainmenu-109/directors-staff-mainmenu-113,defacement,www.iremshrine.com,15.197.142.173
http://www.sgeo.net/index.php?option=com_k2&view=item&id=17:penetrometriche-statiche&Itemid=2&tmpl=component&print=1,defacement,www.sgeo.net,89.46.110.66
http://www.vakantiehuislereve.nl/index.php?option=com_content&view=article&id=66:bezinningsweek&catid=35&Itemid=78&vsig66_0=3,defacement,www.vakantiehuislereve.nl,34.117.168.233
http://benchmarkms.com/projects/churches/picture/4,defacement,benchmarkms.com,23.236.62.147
http://www.wsnc.org.au/component/jcalpro/flat,defacement,www.wsnc.org.au,34.117.168.233
http://www.dovehouse.us/component/content/article/37-content/87-terms-of-service,defacement,www.dovehouse.us,15.197.142.173
http://www.z-mobility.eu/fahrzeugflotte/66-fahrzeugflotte/120-limousine.html,defacement,www.z-mobility.eu,35.172.94.1
http://jetrack.net/Index.php/divine-products/sampurna-mahayantras.html,defacement,jetrack.net,34.102.136.180
http://www.planet-fitness.it/index.php?option=com_content&view=article&id=72&Itemid=41&vsig72_0=28,defacement,www.planet-fitness.it,64.91.240.248
http://myhealthbrand.com/index.php?page=shop.product_details&flypage=flypage.tpl&product_id=29&category_id=6&option=com_virtuemart&Itemid=9999&lang=bg,defacement,myhealthbrand.com,208.91.197.27
http://www.timali.com/our-agents/salvador-caraballo,defacement,www.timali.com,216.40.34.41
http://www.affordable-adult-vacations.com/forum/showthread.php?goto=newpost&t=1144,defacement,www.affordable-adult-vacations.com,67.227.226.240
http://www.sgeo.net/index.php?option=com_k2&view=item&id=5:micropali&Itemid=2,defacement,www.sgeo.net,89.46.110.66
http://www.affordable-adult-vacations.com/faq/10/index.html,defacement,www.affordable-adult-vacations.com,67.227.226.240
http://www.demunjones.com/index.php?option=com_mailto&tmpl=component&link=aHR0cDovL3d3dy5kZW11bmpvbmVzLmNvbS9pbmRleC5waHA%2Fb3B0aW9uPWNvbV9jb250ZW50JnZpZXc9YXJ0aWNsZSZpZD0zMzpkZW11bi1qb25lcy10by1yZWxlYXNlLW5ldy1hbGJ1bS1xbGlnaHRxLXNvb24mY2F0aWQ9MTpuZXdzJkl0ZW1pZD0x,defacement,www.demunjones.com,198.185.159.144
http://soothingpainrelief.com/index.php?option=com_content&view=article&id=17,defacement,soothingpainrelief.com,34.102.136.180
http://www.enolr.com/event-calendar/day/date/2013-01-29/13.html,defacement,www.enolr.com,3.130.204.160
http://www.fitasylum.com/index.php/blog/running/112-how-hard-is-the-vermont-spartan-beast-my-review,defacement,www.fitasylum.com,3.130.204.160
http://raysbicycle.com.au/index.php?option=com_redshop&view=category&cid=5&layout=detail&Itemid=4,defacement,raysbicycle.com.au,185.230.63.171
http://freesoftpage.de/download-server/viewcategory/47-ebay-auktionstools-biettools.html,defacement,freesoftpage.de,64.190.63.111
http://www.westlondongmpresources.org.uk/index.php?page=shop.product_details&flypage=flypage.tpl&product_id=396&category_id=41&option=com_virtuemart&Itemid=1,defacement,www.westlondongmpresources.org.uk,199.59.243.223
http://benchmarkms.com/projects/churches/album/1/9,defacement,benchmarkms.com,23.236.62.147
http://niedoba-assoc.com/index.php?option=com_content&view=article&id=114&Itemid=173,defacement,niedoba-assoc.com,205.178.189.131
http://www.pidloga.com/grabo/itemid-241.php,defacement,www.pidloga.com,64.190.63.111
http://www.persianp.ir/index.php?option=com_user&view=remind,defacement,www.persianp.ir,185.199.108.153
http://www.allaroundrental.com/index.php?option=com_virtuemart&Itemid=57,defacement,www.allaroundrental.com,35.172.94.1
http://gessobh.com/projetos.html,defacement,gessobh.com,3.19.116.195
http://www.sgeo.net/index.php?option=com_docman&task=doc_details&gid=23&Itemid=12,defacement,www.sgeo.net,89.46.110.66
http://www.ninopizzaria.com.br/index.php?option=com_wrapper&view=wrapper&Itemid=167,defacement,www.ninopizzaria.com.br,34.117.168.233
http://www.blackridgemining.com/index.html,defacement,www.blackridgemining.com,3.94.41.167
http://www.magicmarcproductions.com/photos/garland-jeffreys.html,defacement,www.magicmarcproductions.com,198.185.159.144
http://www.cigabin.com/2009100962/industrie.html,defacement,www.cigabin.com,3.14.161.55
http://freesoftpage.de/index.html,defacement,freesoftpage.de,64.190.63.111
http://greatplainschurch.org/component/mailto/index.html?tmpl=component&link=c6af30f282b7dada4ba73e06f01361f15311c6dc,defacement,greatplainschurch.org,15.197.142.173
http://www.webopro.com/index.php/sits/pwws/119-mediagroup?tmpl=component&print=1&layout=default&page=,defacement,www.webopro.com,3.130.204.160
http://charleyjohnsonlaw.com/index.php?option=com_content&view=article&id=91,defacement,charleyjohnsonlaw.com,15.197.142.173
http://www.demunjones.com/index.php?option=com_content&view=article&id=83:download-qking-of-the-tweakersq-free-on-725&catid=1:news&Itemid=1,defacement,www.demunjones.com,198.185.159.144
http://www.cavalieren.nl/index.php?option=com_jevents&task=day.listevents&year=2013&month=01&day=04&Itemid=36,defacement,www.cavalieren.nl,34.149.87.45
http://www.allaroundrental.com/index.php?page=shop.product_details&category_id=27&flypage=flypage.pbv.v1.tpl&product_id=274&option=com_virtuemart&Itemid=63,defacement,www.allaroundrental.com,35.172.94.1
http://www.salfed.com/federasyonumuz/yoenetim-kurulu.html,defacement,www.salfed.com,54.209.32.212
http://www.demunjones.com/index.php?limitstart=3,defacement,www.demunjones.com,198.185.159.144
http://jetrack.net/Index.php/divine-products/exclusive-mahameru-shree-yantra.html,defacement,jetrack.net,34.102.136.180
http://freesoftpage.de/download-server/viewcategory/9-office-programme.html,defacement,freesoftpage.de,64.190.63.111
http://soothingpainrelief.com/index.php?option=com_content&view=article&id=18,defacement,soothingpainrelief.com,34.102.136.180
http://www.photoremote.de/en/faq/1-PhotoRemote/40-kann-ich-photoremote-von-der-konsole-cmd-steuern,defacement,www.photoremote.de,64.190.63.111
http://benchmarkms.com/projects/churches/album/1/13,defacement,benchmarkms.com,23.236.62.147
http://benchmarkms.com/projects/correctional/picture/72,defacement,benchmarkms.com,23.236.62.147
http://www.salfed.com/index.php?option=com_jcomments&task=rss&object_id=121&object_group=com_content&tmpl=component,defacement,www.salfed.com,3.19.116.195
http://practicaleyes.net/home.feed?type=rss,defacement,practicaleyes.net,205.178.189.131
http://www.smslonline.com/index.php?start=24,defacement,www.smslonline.com,3.140.13.188
http://www.sgeo.net/index.php?option=com_docman&task=doc_details&gid=26&Itemid=8,defacement,www.sgeo.net,89.46.110.66
http://www.ecofutbol.com/index.php?option=com_content&view=article&id=77&Itemid=199,defacement,www.ecofutbol.com,207.148.248.143
http://www.cavalieren.nl/index.php?option=com_content&view=article&id=126:uitslag-1e-onderlinge-wedstrijd&catid=8:wedstrijd-info&Itemid=31,defacement,www.cavalieren.nl,34.149.87.45
http://www.salfed.com/modules/mod_news_scroller/mod_news_scroller.js.php,defacement,www.salfed.com,52.71.57.184
http://www.versatilityphoneshop.co.uk/bt-versatility-v16-xp-console-expansion-module-.html,defacement,www.versatilityphoneshop.co.uk,199.59.243.223
http://www.sportschule-neumann.de/index.php?option=com_content&view=article&id=3&Itemid=9,defacement,www.sportschule-neumann.de,45.56.79.23
http://www.fitasylum.com/index.php/product-reviews/p90x2/plyocide-p90x2,defacement,www.fitasylum.com,3.130.253.23
http://www.enolr.com/event-calendar/day/13.html,defacement,www.enolr.com,3.130.204.160
http://www.ninopizzaria.com.br/index.php?option=com_content&view=article&id=103&Itemid=67,defacement,www.ninopizzaria.com.br,34.117.168.233
http://benchmarkms.com/projects/corporate/album/2/2,defacement,benchmarkms.com,23.236.62.147
http://www.affordable-adult-vacations.com/video.htm,defacement,www.affordable-adult-vacations.com,67.227.226.240
http://practicaleyes.net/home/177-introduction.html,defacement,practicaleyes.net,205.178.189.131
http://www.dovehouse.us/events/sponsors/86-privacy-policy,defacement,www.dovehouse.us,15.197.142.173
"http://www.tellimus.ee/et/pood/details/2266/107/rods/poles/clipper-stronger-370cm,-115cm-closed.html",defacement,www.tellimus.ee,3.64.163.50
http://www.affordable-adult-vacations.com/faq/14/index.html,defacement,www.affordable-adult-vacations.com,67.227.226.240
http://www.ninopizzaria.com.br/index.php?option=com_mailto&tmpl=component&link=aHR0cDovL3d3dy5uaW5vcGl6emFyaWEuY29tLmJyL2luZGV4LnBocD9vcHRpb249Y29tX2NvbnRlbnQmdmlldz1hcnRpY2xlJmlkPTExNjplc3B1bWFudGVzJmNhdGlkPTQ3OnZpbmhvcyZJdGVtaWQ9MTcz,defacement,www.ninopizzaria.com.br,34.117.168.233
http://www.faceaffair.com.au/index.php?option=com_content&view=article&id=18&Itemid=19,defacement,www.faceaffair.com.au,34.149.87.45
http://www.ninopizzaria.com.br/index.php?option=com_content&view=article&id=93&Itemid=111,defacement,www.ninopizzaria.com.br,34.117.168.233
http://www.alldayrec.co.uk/index.php?option=com_content&view=article&id=9&Itemid=49,defacement,www.alldayrec.co.uk,34.117.168.233
http://www.ninopizzaria.com.br/index.php?option=com_content&view=article&id=92:guarnicoes&catid=43:cardapio&Itemid=109,defacement,www.ninopizzaria.com.br,34.117.168.233
http://myhealthbrand.com/index.php?option=com_k2&view=itemlist&layout=user&id=62&task=user&Itemid=99&lang=bg,defacement,myhealthbrand.com,208.91.197.27
http://www.sgeo.net/index.php?option=com_docman&task=cat_view&gid=7&limit=10&limitstart=0&order=date&dir=ASC&Itemid=12,defacement,www.sgeo.net,89.46.110.66
http://mudanzas-lopez.com/pedir-presupuesto-a-tu-medida.html,defacement,mudanzas-lopez.com,213.186.33.5
http://mudanzas-lopez.com/index.php,defacement,mudanzas-lopez.com,213.186.33.5
http://benchmarkms.com/projects/corporate/album/2/6,defacement,benchmarkms.com,23.236.62.147
http://www.oshinkan.com/fr/component/jevents/day.listevents/2013/01/02/-.html,defacement,www.oshinkan.com,213.186.33.4
http://www.ninopizzaria.com.br/index.php?option=com_mailto&tmpl=component&link=aHR0cDovL3d3dy5uaW5vcGl6emFyaWEuY29tLmJyL2luZGV4LnBocD9vcHRpb249Y29tX2NvbnRlbnQmdmlldz1hcnRpY2xlJmlkPTExMjp2aW5ob3MtYnJhbmNvcyZjYXRpZD00Nzp2aW5ob3MmSXRlbWlkPTYx,defacement,www.ninopizzaria.com.br,34.117.168.233
http://www.sportschule-neumann.de/index.php?option=com_mailto&tmpl=component&link=180d705a8600368f02d98bce6880f649800fac19,defacement,www.sportschule-neumann.de,45.56.79.23
http://www.sgeo.net/index.php?option=com_k2&view=item&id=23:software-di-geologia-e-laboratorio&Itemid=1,defacement,www.sgeo.net,89.46.110.66
http://www.magicmarcproductions.com/links.html,defacement,www.magicmarcproductions.com,198.185.159.144
http://www.bcm-shop.de/home.html?page=shop.browse&category_id=209,defacement,www.bcm-shop.de,104.247.82.54
http://www.vakantiehuislereve.nl/index.php?option=com_content&view=article&id=66:bezinningsweek&catid=35&Itemid=78&vsig66_0=0,defacement,www.vakantiehuislereve.nl,34.117.168.233
http://www.forumdetregastel.fr/nous-trouver/45-news-bon-cadeau.html,defacement,www.forumdetregastel.fr,46.105.57.169
http://www.transportheker.com/index2.php?option=com_facileforms&Itemid=12&ff_form=24&ff_applic=mod_facileforms&ff_module_id=48&format=html&ff_frame=1,defacement,www.transportheker.com,35.172.94.1
http://www.sportschule-neumann.de/index.php?view=article&catid=2:seminare&id=4:kompaktes-selbstverteidigungsseminar-und-kampftechniken-fuer-unternehmer-manager-und-fuehrungskraefte&tmpl=component&print=1&layout=default&page=&option=com_content&Itemid=8,defacement,www.sportschule-neumann.de,45.56.79.23
http://siepp.com/index.php?option=com_sobi2&catid=108,defacement,siepp.com,64.190.63.111
http://westwindwebdesign.com/online-marketing/35-is-content-marketing-for-you.html,defacement,westwindwebdesign.com,15.197.142.173
http://supergorod.ru/index.php?view=article&catid=4:izdan&id=6:2010-08-04-17-15-57&tmpl=component&print=1&layout=default&page=,defacement,supergorod.ru,31.31.205.163
http://niedoba-assoc.com/index.php?option=com_content&view=article&id=109&Itemid=168,defacement,niedoba-assoc.com,205.178.189.131
http://www.cresco.com.hk/index.html,defacement,www.cresco.com.hk,34.117.168.233
http://www.ninopizzaria.com.br/index.html,defacement,www.ninopizzaria.com.br,34.117.168.233
http://www.prosuzdal.ru/index.php/posmotret-v-suzdale/37-dostoprimechatelnosti-suzdal/56-pokrovsky-monastyr-suzdal.html,defacement,www.prosuzdal.ru,34.117.168.233
http://siepp.com/index.php?option=com_sobi2&catid=48&Itemid=56,defacement,siepp.com,64.190.63.111
http://www.allaroundrental.com/index.php?option=com_virtuemart&page=shop.browse&category_id=11&Itemid=51,defacement,www.allaroundrental.com,35.172.94.1
http://www.allaroundrental.com/index.php?option=com_virtuemart&page=shop.browse&category_id=37&Itemid=36,defacement,www.allaroundrental.com,35.172.94.1
http://blueanchor.nl/dintelmarkt/page/show_category/catid/5.html,defacement,blueanchor.nl,34.249.138.199
http://practicaleyes.net/training-and-events/92-events.feed?type=atom,defacement,practicaleyes.net,205.178.189.131
http://jbquimica.com/contato,defacement,jbquimica.com,34.160.73.230
http://www.tarainstitute.org.au/spiritual-program/buddhist-practices/177-collect-merit-so-easily-at-the-center,defacement,www.tarainstitute.org.au,34.149.87.45
http://theexpertautorepair.com/auto-repair-specials/month.calendar/2012/12/13/-.html,defacement,theexpertautorepair.com,3.19.116.195
http://larcadelcarnevale.com/catalogo/manichini,defacement,larcadelcarnevale.com,213.186.33.4
http://www.planet-fitness.it/index.php?option=com_content&view=article&id=222:promozione-speciale&catid=38:planet-notizie,defacement,www.planet-fitness.it,64.91.240.248
http://football-euro.net/ukraina/340-na-skolkix-stulyax-smozhet-odnovremenno-usidet-znamenityj-trener.html,defacement,football-euro.net,34.102.136.180
http://raysbicycle.com.au/index.php?option=com_redshop&view=product&pid=425&Itemid=4,defacement,raysbicycle.com.au,185.230.63.107
http://myhealthbrand.com/x.txt,defacement,myhealthbrand.com,208.91.197.27
http://practicaleyes.net/training-and-events/81-company-training.feed?type=atom,defacement,practicaleyes.net,205.178.189.131
http://www.bcm-shop.de/home.html?category_id=86&page=shop.browse&limit=20&limitstart=80,defacement,www.bcm-shop.de,104.247.82.54
http://www.blackridgemining.com/undefined/index.html,defacement,www.blackridgemining.com,3.19.116.195
http://soothingpainrelief.com/index.php?option=com_fsf&view=faq&catid=1&Itemid=32&tmpl=component&faqid=8,defacement,soothingpainrelief.com,34.102.136.180
http://www.pidloga.com/alloc/19/exitpage=shopbrowse/itemid-91.php,defacement,www.pidloga.com,64.190.63.111
http://jetrack.net/Index.php/checkout/index.html,defacement,jetrack.net,34.102.136.180
http://www.wsnc.org.au/neighbourhood-centre/playlinks,defacement,www.wsnc.org.au,34.117.168.233
http://www.foehn.es/que-tomar/1-menus-espectaculo,defacement,www.foehn.es,34.102.136.180
http://larcadelcarnevale.com/catalogo/maschere-in-pvc/1838-maschera-brighella-nero-60,defacement,larcadelcarnevale.com,213.186.33.4
http://www.enolr.com/event-calendar/day/date/2013-01-30/13.html,defacement,www.enolr.com,34.205.242.146
http://vivre-productions.com/index.php/portfolio/67-pr-evenement,defacement,vivre-productions.com,34.249.138.199
http://football-euro.net/germaniya/75-chto-ozhidat-ot-sbornoj-germanii-i-chto-zhdet-sbornuyu-germanii-v-yuar.html,defacement,football-euro.net,34.102.136.180
http://hetiaz.com/index.php?%2Fprelevements-sociaux.html,defacement,hetiaz.com,34.102.136.180
http://homesofbr.com/index.php?option=com_properties&view=properties&task=map&id=24&Itemid=98,defacement,homesofbr.com,34.102.136.180
http://www.wsnc.org.au/component/jcalpro/view/992,defacement,www.wsnc.org.au,34.117.168.233
http://www.ebeco.de/index.php?option=com_mailto&tmpl=component&link=aHR0cDovL3d3dy5lYmVjby5kZS9pbmRleC5waHA%2Fb3B0aW9uPWNvbV9jb250ZW50JnZpZXc9YXJ0aWNsZSZpZD0yNyUzQWFnYiZJdGVtaWQ9NDAmbGFuZz1kZQ==&lang=de,defacement,www.ebeco.de,23.227.38.74
http://www.transportheker.com/index2.php?option=com_facileforms&Itemid=13&ff_form=24&ff_applic=mod_facileforms&ff_module_id=48&format=html&ff_frame=1,defacement,www.transportheker.com,35.172.94.1
http://siepp.com/index.php?option=com_sobi2&catid=11,defacement,siepp.com,64.190.63.111
http://www.photoremote.de/de/lexikon,defacement,www.photoremote.de,64.190.63.111
